ligne,puissance_reel,p_pd,p_nomad,diff_pd,diff_nomad,nb_iter,t_pd,t_nomad,nb_turbines,nb_actives_pd,convergence
24,176.41638732910155,185.9986744352854,185.9986744352854,9.582287106183855,9.582287106183855,382,0.02830810000159545,35.55650950000563,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
25,176.09107376098635,184.56952913324284,184.56952913324284,8.47845537225649,8.47845537225649,300,0.02701169999636477,29.728234299996984,5,4,"[(1, 171.6508766257), (3, 172.6323147882), (5, 172.805572536), (8, 173.0724592845), (11, 173.1699543015), (14, 173.3928165788), (15, 173.4755937347), (18, 173.678575588), (26, 174.5192284066), (32, 174.5940207394), (33, 174.9225130964), (36, 175.6422086591), (37, 176.3831633931), (39, 176.984199278), (40, 182.6575246471), (42, 182.8848788452), (48, 182.9766559716), (53, 183.4349927478), (77, 184.1416197534), (116, 184.2433780792), (128, 184.4582927531), (141, 184.4585829435), (145, 184.5692389429), (157, 184.5695291332), (300, 184.5695291332)]"
26,175.76583862304688,184.6233312896981,184.6233312896981,8.857492666651211,8.857492666651211,376,0.02769389999593841,35.69484620000003,5,4,"[(1, 171.7013661786), (3, 172.6829062095), (5, 172.8568179141), (8, 173.0296360066), (11, 173.2242313961), (14, 173.3339374275), (15, 173.7625583955), (20, 174.0844817123), (21, 174.2017081741), (25, 174.3070517516), (30, 174.5247946981), (32, 175.1364982102), (37, 181.9317251851), (63, 183.4183884983), (69, 183.8074412013), (70, 183.8621768291), (99, 183.9132469162), (109, 184.009264681), (130, 184.2552556146), (135, 184.293281703), (163, 184.5986290107), (174, 184.6233312897), (376, 184.6233312897)]"
27,175.2383551025391,183.13927948663837,183.13927948663837,7.900924384099284,7.900924384099284,351,0.03828040000371402,33.50787490000221,5,4,"[(1, 169.9302362501), (3, 170.7938277322), (5, 171.09252319), (11, 171.3140728927), (14, 172.5951426035), (15, 177.6293659198), (16, 180.0834072625), (22, 181.0925689978), (36, 181.5474307195), (71, 181.8856586249), (89, 183.0061266959), (131, 183.1196810388), (134, 183.1198103354), (155, 183.1392794866), (351, 183.1392794866)]"
28,175.0242184448242,183.19283378232984,183.19283378232984,8.168615337505628,8.168615337505628,370,0.026946899997710716,36.14800000000105,5,4,"[(1, 169.9801459986), (3, 170.8438021965), (5, 171.143081415), (11, 171.3643978799), (19, 171.45744862), (20, 171.5570527385), (21, 172.2001962882), (25, 172.8339271809), (26, 173.2536710835), (29, 175.9924625415), (30, 178.193410469), (32, 178.9444183538), (47, 179.5674338982), (73, 180.3000615547), (95, 181.0139903177), (100, 181.3171956571), (103, 181.6293366461), (108, 182.2051008029), (123, 183.1732545481), (160, 183.1928337823), (370, 183.1928337823)]"
29,175.54069290161132,184.6233312896981,184.6233312896981,9.082638388086764,9.082638388086764,376,0.027486200000566896,34.55926439999894,5,4,"[(1, 171.7013661786), (3, 172.6829062095), (5, 172.8568179141), (8, 173.0296360066), (11, 173.2242313961), (14, 173.3339374275), (15, 173.7625583955), (20, 174.0844817123), (21, 174.2017081741), (25, 174.3070517516), (30, 174.5247946981), (32, 175.1364982102), (37, 181.9317251851), (63, 183.4183884983), (69, 183.8074412013), (70, 183.8621768291), (99, 183.9132469162), (109, 184.009264681), (130, 184.2552556146), (135, 184.293281703), (163, 184.5986290107), (174, 184.6233312897), (376, 184.6233312897)]"
30,174.46981079101562,183.19283378232984,183.19283378232984,8.723022991314224,8.723022991314224,370,0.026133799998206086,34.92031570000108,5,4,"[(1, 169.9801459986), (3, 170.8438021965), (5, 171.143081415), (11, 171.3643978799), (19, 171.45744862), (20, 171.5570527385), (21, 172.2001962882), (25, 172.8339271809), (26, 173.2536710835), (29, 175.9924625415), (30, 178.193410469), (32, 178.9444183538), (47, 179.5674338982), (73, 180.3000615547), (95, 181.0139903177), (100, 181.3171956571), (103, 181.6293366461), (108, 182.2051008029), (123, 183.1732545481), (160, 183.1928337823), (370, 183.1928337823)]"
31,176.48220626831053,186.05288242597607,186.05288242597607,9.570676157665531,9.570676157665531,348,0.030762700000195764,33.82546189999994,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
32,176.48220626831053,186.05288242597607,186.05288242597607,9.570676157665531,9.570676157665531,348,0.040406899999652524,33.17735720000201,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
33,176.6339340209961,186.05288242597607,186.05288242597607,9.418948404979972,9.418948404979972,348,0.028362699995341245,32.63088250000146,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
34,176.48562088012696,186.05288242597607,186.05288242597607,9.567261545849107,9.567261545849107,348,0.027881499998329673,32.5062539999999,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
35,176.37964096069337,184.67707740015385,184.67707740015385,8.297436439460483,8.297436439460483,326,0.031645600000047125,32.45955949999916,5,4,"[(1, 171.7517383634), (3, 172.7333842753), (5, 172.9079761434), (8, 173.1775614496), (11, 173.2720635838), (14, 173.4951738287), (15, 173.5787790633), (18, 173.7823072707), (33, 173.8969477428), (35, 174.174765402), (36, 174.3731885838), (44, 174.7453487362), (46, 175.0012694672), (47, 175.5661366376), (51, 179.8533215501), (60, 181.0322678479), (63, 182.4228705993), (83, 182.7053728978), (84, 183.2369308105), (101, 183.3150544155), (104, 184.1561116146), (107, 184.4512193825), (108, 184.6770566726), (216, 184.6770774002), (326, 184.6770774002)]"
36,176.430339050293,185.99320791914164,185.99320791914164,9.562868868848653,9.562868868848653,375,0.028164499999547843,36.85711479999736,5,4,"[(1, 173.3074942618), (3, 174.4330632338), (5, 174.5599579218), (11, 175.3726629609), (30, 175.5083164527), (31, 175.6271008515), (33, 175.8885064408), (35, 176.0813619861), (36, 176.4343488747), (38, 176.7536737216), (39, 176.9195499509), (63, 177.1341124392), (64, 177.394771799), (74, 177.9244565663), (77, 181.4081483298), (78, 184.3211911987), (96, 184.329607348), (98, 185.0759264446), (108, 185.1681448515), (133, 185.2850892148), (135, 185.3547538122), (137, 185.3770145867), (177, 185.6772943277), (198, 185.9932079191), (375, 185.9932079191)]"
37,176.69654022216798,186.1124627253754,186.1124627253754,9.415922503207412,9.415922503207412,351,0.027687599998898804,34.62669270000333,5,4,"[(1, 173.4197585294), (3, 174.5456383715), (5, 174.674157573), (11, 175.4880873208), (30, 175.6242777539), (31, 175.7432368062), (33, 176.0061853843), (35, 176.1975903621), (36, 176.5506298861), (38, 176.8706347489), (39, 177.0368024808), (46, 180.9871046612), (49, 182.8393105949), (50, 184.1359438975), (73, 184.6021114313), (104, 185.7514548847), (127, 185.7531700076), (131, 185.7981138701), (134, 185.8203053641), (137, 185.8812448695), (177, 186.1124627254), (351, 186.1124627254)]"
38,176.48735900878907,186.05288242597607,186.05288242597607,9.565523417186995,9.565523417186995,348,0.027043599999160506,32.95721169999888,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
39,176.63917800903323,186.05288242597607,186.05288242597607,9.413704416942835,9.413704416942835,348,0.0325687000004109,32.63434330000018,5,4,"[(1, 173.3636980904), (3, 174.4894200636), (5, 174.6171111231), (11, 175.4304306369), (30, 175.5663499604), (31, 175.6852212369), (33, 175.947395198), (35, 176.1395309662), (36, 176.4925446137), (38, 176.8122072761), (39, 176.9782285778), (46, 179.2030777693), (47, 180.6085406239), (50, 185.5620922056), (62, 185.5805397248), (100, 185.6926073587), (121, 186.052882426), (348, 186.052882426)]"
40,175.3537387084961,184.67707740015385,184.67707740015385,9.323338691657739,9.323338691657739,326,0.03602189999946859,31.187885200000892,5,4,"[(1, 171.7517383634), (3, 172.7333842753), (5, 172.9079761434), (8, 173.1775614496), (11, 173.2720635838), (14, 173.4951738287), (15, 173.5787790633), (18, 173.7823072707), (33, 173.8969477428), (35, 174.174765402), (36, 174.3731885838), (44, 174.7453487362), (46, 175.0012694672), (47, 175.5661366376), (51, 179.8533215501), (60, 181.0322678479), (63, 182.4228705993), (83, 182.7053728978), (84, 183.2369308105), (101, 183.3150544155), (104, 184.1561116146), (107, 184.4512193825), (108, 184.6770566726), (216, 184.6770774002), (326, 184.6770774002)]"
41,198.09620864868162,205.12989773682588,205.12989773682588,7.033689088144257,7.033689088144257,234,0.04368149999936577,27.621138399998017,5,5,"[(1, 203.7213334948), (3, 204.0187573758), (15, 204.1805995125), (18, 204.5874766873), (19, 204.7838943661), (26, 204.9560944354), (30, 204.9660042935), (35, 205.0882649557), (41, 205.1151770931), (43, 205.1298977368), (234, 205.1298977368)]"
42,202.5580950927734,208.0267786308895,208.0267786308895,5.468683538116096,5.468683538116096,272,0.04172219999600202,30.83708079999633,5,5,"[(1, 206.508315425), (3, 207.2752471968), (17, 207.5968642384), (26, 207.6687550374), (28, 207.802564737), (33, 207.8027499861), (35, 207.8728976571), (37, 207.8798561121), (39, 207.9110373854), (40, 207.9883287605), (42, 208.0121581017), (62, 208.0131552764), (78, 208.0198201759), (89, 208.0267786309), (272, 208.0267786309)]"
43,202.8211322402954,207.90143448840786,207.90143448840786,5.080302248112446,5.080302248112446,276,0.03787890000239713,30.632611600005475,5,5,"[(1, 206.383853542), (3, 207.1506737765), (17, 207.4716085046), (26, 207.5432826647), (28, 207.676561997), (33, 207.6773437277), (35, 207.7469736819), (37, 207.7541167276), (39, 207.7854877614), (40, 207.863042492), (42, 207.8863528333), (66, 207.8878872202), (86, 207.8942914427), (114, 207.9014344884), (276, 207.9014344884)]"
44,203.2337174987793,207.96420546933362,207.96420546933362,4.7304879705543215,4.7304879705543215,277,0.04030689999490278,31.345175700000254,5,5,"[(1, 206.4461905683), (3, 207.2130646192), (17, 207.5343370757), (26, 207.6061163746), (28, 207.739659963), (33, 207.7401459698), (35, 207.810032229), (37, 207.817083476), (39, 207.8483613726), (40, 207.9257848855), (42, 207.9493521751), (74, 207.950134118), (79, 207.9571542224), (109, 207.9642054693), (277, 207.9642054693)]"
